% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
9.27621 0.842616 -1.49563 30.5983 -7.68032 -6.61303 -1.62189 -3.56652 -0.39402
9.54354 0.404756 -1.58969 27.1175 -9.93877 -17.809 -1.27121 -3.4714 -0.431245
9.57401 1.0573 -1.21228 28.3416 -9.81706 -11.7826 -1.65952 -5.19657 -0.318314
9.79325 0.575902 -1.31572 28.5672 -0.831587 -3.27791 -0.976217 -3.89385 -0.487052
9.72697 0.499939 -1.15848 28.6227 0.789942 -3.4127 -1.21443 -4.77149 -0.427595
9.4119 -0.210473 -1.45083 32.9972 -9.83851 -6.44891 -1.53269 -4.20951 -0.650879
10.211 1.03756 -1.59673 -4.15083 7.83746 18.5438 0.592198 0.178528 -0.0219257
9.50048 1.10069 -1.25366 -6.32791 9.5516 8.13689 0.652985 0.242437 -0.0184026
11.9719 -1.46333 -1.3428 -10.4048 9.49592 3.72678 1.27162 2.23057 0.0231733
11.278 0.0748857 -1.3298 -12.5169 9.629 0.193403 1.38143 2.48285 0.0529024
9.65637 2.64068 -1.87713 -9.41688 8.80605 1.58184 1.57782 2.81336 -0.00752767
10.0478 1.68415 -1.53687 -11.3537 8.95445 3.96326 1.61298 2.87737 0.0193831
7.19822 1.64157 -0.92844 -14.3571 6.96557 12.155 1.4883 2.95117 0.0734216
11.2793 -1.36062 -1.42545 -10.7232 6.53353 12.2534 1.24977 2.40073 -0.00296374
11.3266 0.376125 -1.59741 -11.8011 4.57158 11.8635 0.9211 2.05254 0.0347356
9.68918 0.310368 -1.33738 -8.08383 2.39925 11.1447 0.544179 1.36056 0.0187409
9.13382 0.816785 -1.03503 -8.57224 0.411311 11.7759 -0.0227987 0.460753 -0.0123935
7.39807 0.469435 -0.906412 -5.93661 -2.49708 5.91822 -0.524299 -1.01824 -0.0990567
9.3415 0.368933 -1.07976 -2.26462 -4.15401 13.919 -0.729946 -1.18499 -0.0967192
11.4473 1.77726 -1.98449 -9.76193 -6.37886 18.5841 -0.477797 1.12167 -0.0113976
8.52487 -0.0615158 -0.794029 -8.19034 -5.87941 16.6638 -0.462314 1.05522 0.00225799
9.0383 -0.239456 -0.895756 -12.612 -9.14668 21.9493 -0.64634 1.74829 0.0157491
12.2187 1.89906 -1.87868 -13.1055 -7.19208 17.2389 -0.426802 1.76181 0.0036133
11.8586 0.890676 -1.52179 -9.97056 -5.59815 15.2809 -0.464367 1.05932 -0.0085649
13.3443 2.41296 -2.75679 -10.2808 -4.47137 16.2251 -0.253301 1.42756 0.0033487
9.27095 0.674972 -1.05368 -8.05705 -3.56899 13.8893 -0.158407 1.23205 0.00453812
7.25508 0.115739 -0.332023 -7.08704 -2.4479 11.0757 -0.180358 0.795393 -0.00456468
9.74735 0.728557 -1.08046 -4.91013 -1.49881 7.4997 -0.219644 0.18255 -0.00628232
8.428 0.710723 -1.10757 -3.57349 -0.450951 8.67893 -0.325103 -0.663796 -0.0484616
